SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
CINEVISTA,EQ,10.8,11.65,10.8,11.65,11.65,10.6,51109,590519.85,04-SEP-2017,86,INE039B01026,nse
CIPLA,EQ,574.5,577,557.55,561.7,562.1,568.4,1731377,978356489.5,04-SEP-2017,29928,INE059A01026,nse
CLEDUCATE,EQ,369.05,370,361.1,365.25,364.3,366.65,2372,866837.25,04-SEP-2017,314,INE201M01011,nse
CLNINDIA,EQ,578,578,563.5,568.2,568,571.75,45566,25897384.75,04-SEP-2017,2488,INE492A01029,nse
CMICABLES,EQ,206.4,207.2,200,202.2,201.15,205.1,20753,4209996.35,04-SEP-2017,547,INE981B01011,nse
CNOVAPETRO,EQ,31,36.65,28.8,32,31.75,30.6,214557,7304065.95,04-SEP-2017,1110,INE672K01025,nse
COALINDIA,EQ,239,247.2,238.95,246.5,246.25,238.65,8269444,2020978e3,04-SEP-2017,56382,INE522F01014,nse
COCHINSHIP,EQ,529,545.5,525,536.6,535,531.6,1526587,817764993.55,04-SEP-2017,35885,INE704P01017,nse
COFFEEDAY,EQ,238.15,243,238,238.3,238.05,241.25,50282,12097027.6,04-SEP-2017,646,INE335K01011,nse
COLPAL,EQ,1120,1126.95,1105,1112.05,1113.1,1124.25,253049,281922647.1,04-SEP-2017,7223,INE259A01022,nse
COMPINFO,EQ,29.8,29.8,28,28.9,28.6,28.75,20403,593899.1,04-SEP-2017,90,INE070C01037,nse
COMPUSOFT,EQ,13,13.2,12.2,12.35,12.5,12.75,59758,741491.55,04-SEP-2017,215,INE453B01029,nse
CONCOR,EQ,1326,1330.95,1294.3,1316.55,1315,1333.35,385346,506172035.5,04-SEP-2017,24095,INE111A01017,nse
CONSOFINVT,EQ,58,61.75,55.6,58.8,59.5,58.8,1450,85800.4,04-SEP-2017,70,INE025A01027,nse
CONTROLPR,EQ,393,397.15,389.1,390.3,391.8,391.8,10248,4026679.05,04-SEP-2017,424,INE663B01015,nse
CORALFINAC,EQ,76,76,66,73.2,73,71.85,8173,586726.45,04-SEP-2017,116,INE558D01021,nse
CORDSCABLE,EQ,119.85,121,110,119.15,120.85,118.15,91222,10691474,04-SEP-2017,1237,INE792I01017,nse
COROMANDEL,EQ,442.8,442.8,425.55,429.15,429.5,438.35,50868,21979322.75,04-SEP-2017,1529,INE169A01031,nse
CORPBANK,EQ,45,45.25,44.2,44.3,44.2,44.9,148478,6630028.05,04-SEP-2017,1254,INE112A01023,nse
COSMOFILMS,EQ,374.8,379,362.6,365.5,364.7,371.7,32513,12074773.7,04-SEP-2017,908,INE757A01017,nse
COUNCODOS,EQ,3.4,3.4,3.2,3.4,3.4,3.3,14966,49341.3,04-SEP-2017,17,INE695B01025,nse
COX&KINGS,EQ,268,272.35,265,268.8,270,267.9,333947,89693286.85,04-SEP-2017,2342,INE008I01026,nse
CPSEETF,EQ,27.75,27.75,27.26,27.47,27.48,27.66,856052,23539047.92,04-SEP-2017,1361,INF457M01133,nse
CREATIVE,SM,109.5,110,109,109,109,107.5,4800,525600,04-SEP-2017,3,INE985W01018,nse
CREATIVEYE,EQ,4.15,4.2,4.15,4.2,4.2,4.3,1899,7965.3,04-SEP-2017,5,INE230B01021,nse
CREST,EQ,169,173.95,166.65,170,171.9,170,1821,309227.6,04-SEP-2017,61,INE559D01011,nse
CRISIL,EQ,1905.5,1908.95,1875.15,1903.2,1908.95,1905.5,5815,11026431.4,04-SEP-2017,700,INE007A01025,nse
CRMFGETF,EQ,2750,2785,2750,2785,2785,2730,51,141870,04-SEP-2017,4,INF760K01BR1,nse
CROMPTON,EQ,218,219.95,215,217.75,217.5,217.95,250469,54480791.85,04-SEP-2017,10366,INE299U01018,nse
CTE,EQ,81,81.2,80,81.2,81.2,79.65,10297,833519.7,04-SEP-2017,63,INE627H01017,nse
CUB,EQ,160.4,162.1,159.6,160.6,160.85,160.45,349534,56392109.7,04-SEP-2017,4594,INE491A01021,nse
CUBEXTUB,BE,16.9,16.9,16.55,16.55,16.55,16.9,669,11193.2,04-SEP-2017,8,INE144D01012,nse
CUMMINSIND,EQ,909.95,921.8,895.9,907.9,905,909.75,241598,220364811.3,04-SEP-2017,8621,INE298A01020,nse
CUPID,EQ,284.95,291,283.85,290.1,290,284.05,30614,8819838.2,04-SEP-2017,578,INE509F01011,nse
CURATECH,EQ,4.3,4.3,4.3,4.3,4.3,4.3,18,77.4,04-SEP-2017,1,INE117B01012,nse
CYBERMEDIA,EQ,6.6,6.6,6.6,6.6,6.6,6.9,20,132,04-SEP-2017,2,INE278G01037,nse
CYBERTECH,EQ,56.7,57.8,54.15,55.25,54.8,56.7,25555,1425878.3,04-SEP-2017,167,INE214A01019,nse
CYIENT,EQ,531.1,533.25,528.05,532.35,530.55,534.8,8502,4512468.2,04-SEP-2017,493,INE136B01020,nse
DAAWAT,EQ,66.8,69.95,66.5,67.6,67.5,65.85,1067636,72843386.85,04-SEP-2017,6373,INE818H01020,nse
DABUR,EQ,313.7,314.5,308.6,310.75,314.5,313.45,419178,130212951.65,04-SEP-2017,9938,INE016A01026,nse
DALMIABHA,EQ,2697.5,2732.6,2669.25,2709.85,2725,2692.1,77541,209630527.65,04-SEP-2017,5237,INE439L01019,nse
DALMIASUG,EQ,165.9,168.5,161,163.55,163.5,165.15,92111,15244458.05,04-SEP-2017,1803,INE495A01022,nse
DAMODARIND,EQ,93.8,93.8,88,89.95,90,92.25,11554,1045253.2,04-SEP-2017,146,INE497D01014,nse
DATAMATICS,EQ,105.85,105.85,101.25,103.1,103.5,104.8,98260,10129625.75,04-SEP-2017,1935,INE365B01017,nse
DBCORP,EQ,371.9,377.6,370.35,375.8,376,369.55,32688,12248649.85,04-SEP-2017,2421,INE950I01011,nse
DBL,EQ,593.4,596.95,570.6,574.6,576,592.2,276699,160448412.3,04-SEP-2017,9749,INE917M01012,nse
DBREALTY,EQ,38.95,41.2,38.5,39.75,39.8,39.3,1405453,56300506.9,04-SEP-2017,5460,INE879I01012,nse
DCBBANK,EQ,184.8,188.75,182.6,185.7,185.3,186.55,1191334,222011915.1,04-SEP-2017,8561,INE503A01015,nse
DCM,EQ,117.9,117.95,113.8,115.15,114.9,116.95,56531,6524468.15,04-SEP-2017,345,INE498A01018,nse
DCMSHRIRAM,EQ,411.9,417,397.65,404.05,403.5,410.25,71672,29046297.15,04-SEP-2017,3965,INE499A01024,nse
DCW,EQ,33.9,34.5,33.05,33.65,33.7,33.85,787655,26677814.8,04-SEP-2017,1999,INE500A01029,nse
DECCANCE,EQ,1148,1148,1111,1125.35,1125,1128.95,2848,3210878.45,04-SEP-2017,342,INE583C01013,nse
DEEPAKFERT,EQ,383.9,383.9,370.9,377.35,377,379.4,112456,42402372.05,04-SEP-2017,8416,INE501A01019,nse
DEEPAKNTR,EQ,180.45,182,172.05,177.3,175.2,179.15,152785,27034421,04-SEP-2017,1978,INE288B01029,nse
DEEPIND,EQ,219.7,223,210.5,214.5,214,216.75,58490,12685200.9,04-SEP-2017,1136,INE677H01012,nse
DELTACORP,EQ,196.8,196.8,185.25,189.4,189.4,197.25,3291346,627333102,04-SEP-2017,23336,INE124G01033,nse
DELTAMAGNT,EQ,37.5,37.9,37.5,37.9,37.9,36.1,2320,87668,04-SEP-2017,6,INE393A01011,nse
DEN,EQ,90.45,90.45,87.1,88.1,87.8,88.05,122739,10868143.75,04-SEP-2017,984,INE947J01015,nse
DENABANK,EQ,30.55,31.1,30.55,30.7,30.6,30.75,424431,13069187.8,04-SEP-2017,1695,INE077A01010,nse
DENORA,EQ,262.15,266,260,260.85,262.75,261.65,1073,280530,04-SEP-2017,91,INE244A01016,nse
DEVIT,SM,60,62.3,58,62,62.3,59.3,33000,1998150,04-SEP-2017,10,INE060X01018,nse
DFMFOODS,EQ,1382.45,1399,1290.5,1319.75,1320,1393.1,6158,8206318.3,04-SEP-2017,812,INE456C01012,nse
DHAMPURSUG,EQ,266.4,269.4,258.35,263,262.5,266.4,262888,69393256.35,04-SEP-2017,4836,INE041A01016,nse
DHANBANK,EQ,36.15,36.5,35.4,35.7,35.6,35.65,483437,17397561.35,04-SEP-2017,1363,INE680A01011,nse
DHANUKA,EQ,678,684.05,674,681.1,681.9,682.35,14792,10038659.5,04-SEP-2017,2586,INE435G01025,nse
DHARSUGAR,EQ,23,23.55,22.55,23.1,23.1,23.25,19408,447302.35,04-SEP-2017,117,INE988C01014,nse
DHFL,EQ,517.95,526.75,510.75,520.85,521,516.95,4044941,2102111150.5,04-SEP-2017,40614,INE202B01012,nse
DHFL,N6,1045,1045,1045,1045,1045,1032,28,29260,04-SEP-2017,1,INE202B07HP2,nse
DHFL,NA,1021.05,1021.05,1021.05,1021.05,1021.05,1021,14,14294.7,04-SEP-2017,1,INE202B07HT4,nse
DHFL,NC,1049,1049,1045,1046.91,1045.01,1047.99,3121,3267020.2,04-SEP-2017,25,INE202B07HV0,nse
DHFL,NP,1030,1031,1030,1030.75,1030.75,1030.1,1447,1490442.5,04-SEP-2017,23,INE202B07IO3,nse
DHUNINV,EQ,359.05,359.05,346,348.9,349,358.4,1874,659672.05,04-SEP-2017,119,INE320L01011,nse
DIAPOWER,EQ,21.45,21.45,19.5,19.85,20.4,20.75,165682,3324540.45,04-SEP-2017,571,INE989C01012,nse
DICIND,EQ,512.55,515,501.2,505.8,506,512.5,5564,2843406.8,04-SEP-2017,140,INE303A01010,nse
DIGJAMLTD,EQ,12.2,12.65,11.85,12.35,12.25,12.15,242424,2981696.8,04-SEP-2017,693,INE731U01010,nse
DISHTV,EQ,81.4,82.45,79.3,80.1,80.1,81.35,2827762,229094297.55,04-SEP-2017,10242,INE836F01026,nse
DIVISLAB,EQ,710.5,722.4,695.35,709.1,706.6,711.95,838545,595781870.85,04-SEP-2017,18403,INE361B01024,nse
DLF,EQ,191.05,191.3,182.3,188,187.6,191.6,12405954,2319306093.45,04-SEP-2017,50392,INE271C01023,nse
DLINKINDIA,EQ,90.5,92.6,85.05,90.2,90,97.15,1211812,107219458.1,04-SEP-2017,10929,INE250K01012,nse
DMART,EQ,1045,1049.35,1007.4,1020.65,1025,1048.4,498521,510623673.25,04-SEP-2017,28926,INE192R01011,nse
DOLLAR,EQ,461.95,461.95,433,438.45,435,458.5,53869,23780097.8,04-SEP-2017,1078,INE325C01035,nse
DOLPHINOFF,EQ,87.9,89.15,86.15,86.7,86.2,87.4,179624,15771217.85,04-SEP-2017,2948,INE920A01011,nse
DONEAR,EQ,61.15,64.6,59.6,62.55,63,61.6,54493,3407467.3,04-SEP-2017,703,INE668D01028,nse
DPL,EQ,85.2,86.65,84.05,86.2,86.6,86,56379,4847716.9,04-SEP-2017,194,INE477B01010,nse
DPSCLTD,EQ,37,37,36.1,36.8,36.8,36.6,3445,125046.15,04-SEP-2017,17,INE360C01024,nse
DQE,EQ,12.5,12.95,12.5,12.7,12.8,12.65,9055,115431.4,04-SEP-2017,43,INE656K01010,nse
DREDGECORP,EQ,596.9,603.5,586.8,595.1,592,593.7,89273,53246660.2,04-SEP-2017,3542,INE506A01018,nse
DRREDDY,EQ,2234,2236.4,2173.25,2195.1,2181.9,2217.55,947235,2081705870.45,04-SEP-2017,42018,INE089A01023,nse
DSKULKARNI,BE,26,26.65,24.75,25.3,25.5,26.05,24032,607266.05,04-SEP-2017,129,INE891A01014,nse
